Green,Blue ,red
1.666666667,4.333333333,4.333333333
5,5,5
2,2.666666667,3.666666667
1,4,4.666666667
1.333333333,1.666666667,2
3.666666667,3.666666667,4.666666667
3.333333333,4.666666667,5
3.666666667,3.666666667,3.333333333
1.333333333,2,2
2.333333333,3.666666667,5
