without Politeness,politeness
143,227
143,261
143,212.5
143,213.5
143,214.5
143,242
143,178
143,218
143,241.5
143,258.5
143,215
143,186.5
143,248
143,162
143,187.5
143,171.5
143,173.5
143,201.5
143,305.5
143,239.5
