without politeness,politeness
3.666666667,3.166666667
2.333333333,3.666666667
3,4.333333334
3,3.333333334
3,3
2.333333333,1.666666667
1,3.166666667
3.333333333,3.833333334
5,5
3.333333333,3.833333334
2.666666667,3.166666667
1.666666667,1.833333334
1.333333333,3.166666667
3,2.166666667
3,4.5
4.666666667,4.666666667
3,3
3.666666667,4
2.333333333,2
1,4.166666667
