Green,Blue,Red
143,163,291
143,190,332
143,185,240
143,245,182
143,169,260
143,257,227
143,174,182
143,177,259
143,173,310
143,256,261
143,155,275
143,192,181
143,308,188
143,164,160
143,175,200
143,168,175
143,162,185
143,223,180
143,229,382
143,235,244
