Without Politeness,Politeness
1,1.5
-8,7
-3,-3.5
0,1.5
1,-9
-6,-5
3,0.5
7,-4
-62,-0.5
7,-7.5
-52,3
-2,-3
-2,-5.5
-22,-5
-1,-2
2,0
-1,-7.5
-20,-6.5
1,-23
-1,-25.5
