Green,Blue,Red
3.666666667,3.333333333,3
2.333333333,3.333333333,4
3,4.666666667,4
3,3.666666667,3
3,3,3
2.333333333,1,2.333333333
1,3,3.333333333
3.333333333,5,2.666666667
5,5,5
3.333333333,3.666666667,4
2.666666667,3.666666667,2.666666667
1.666666667,2,1.666666667
1.333333333,3.333333333,3
3,2,2.333333333
3,4.666666667,4.333333333
4.666666667,4.666666667,4.666666667
3,3.333333333,2.666666667
3.666666667,4.333333333,3.666666667
2.333333333,2,2
1,4.666666667,3.666666667
