without politeness,one level,three level
144,169,161
144,166,175
144,172,231
144,166,163
144,167,160
144,157,180
144,169,158
144,171,163
144,160,174
144,172,173
144,154,175
144,164,174
144,234,171
144,223,180
144,170,176
144,170,163
144,166,168
144,163,156
144,235,177
144,162,227
144,163,174
144,167,159
144,168,159
144,166,159
144,170,171
144,157,161
144,167,180
144,173,162
144,168,162
144,167,179
