without politeness,Politeness
4,7
0,-6
-29,-2
1,1.5
15,9
-3,-1
2,-10.5
6,3
1,-12
3,-2
3,2
2,13
-3,7.5
-1,-5.5
7,-15.5
-11,-7.5
-5,8.5
20,-8
-17,-3.5
3,2.5
4,20
-3,-6
-2,0.5
3,-3.5
-8,8
0,-1
1,-2
-3,0
8,-14
4,0
