without politeness,polteness
144,165
144,170.5
144,201.5
144,164.5
144,163.5
144,168.5
144,163.5
144,167
144,167
144,172.5
144,164.5
144,169
144,202.5
144,201.5
144,173
144,166.5
144,167
144,159.5
144,206
144,194.5
144,168.5
144,163
144,163.5
144,162.5
144,170.5
144,159
144,173.5
144,167.5
144,165
144,173
